# Ping Pong Matrix  - Teefy et al. - PIWI-piRNA pathway-mediated transposable element repression in Hydra somatic stem cells
#----------------------------------------------------------------------------
#
# abbreviations: 	ID = Identity of Transcript
#					Ping_Pong = Reciprocal method of PIWI-mediated RNA destruction
#					Inverse = Ping-Pong between non-canonical PIWI pairs (i.e. Hywi S/Hyli AS)
#					Epi = Epithelial
#					Whole =  Occuring in the whole or WT Hydra
# 
# ID - Transcript name, as assigned in Siebert et al., 2018
# Whole_Ping_Pong - TRUE if at least one Hywi AS/Hyli S Ping-Pong hit occurs on the transcript in whole Hydra, else FALSE
# Epi_Ping_Pong - TRUE if at least one Hywi AS/Hyli S Ping-Pong hit occurs on the transcript in epithelial Hydra, else FALSE
# Whole_Ping_Pong_Inverse - TRUE if at least one Hywi S/Hyli AS Ping-Pong hit occurs on the transcript in whole Hydra, else FALSE
# Epi_Ping_Pong_Inverse - TRUE if at least one Hywi S/Hyli AS Ping-Pong hit occurs on the transcript in epithelial Hydra, else FALSE
# 
#------------------------------------------------------------------------------------------------------------------------------------------------------
#
"ID" "Whole_Ping_Pong" "Epi_Ping_Pong" "Whole_Ping_Pong_Inverse" "Epi_Ping_Pong_Inverse"
"225" "t10202aep" FALSE FALSE FALSE FALSE
"226" "t10203aep" FALSE FALSE FALSE FALSE
"227" "t10204aep" FALSE FALSE FALSE FALSE
"228" "t10205aep" FALSE FALSE FALSE FALSE
"229" "t10206aep" FALSE FALSE FALSE FALSE
"230" "t10207aep" FALSE FALSE FALSE FALSE
"231" "t10208aep" FALSE FALSE FALSE FALSE
"232" "t10209aep" FALSE FALSE FALSE FALSE
"233" "t1020aep" TRUE FALSE TRUE FALSE
"234" "t10210aep" FALSE FALSE FALSE FALSE
"235" "t10211aep" FALSE FALSE FALSE FALSE
"236" "t10212aep" FALSE FALSE FALSE FALSE
"237" "t10213aep" FALSE FALSE FALSE FALSE
"238" "t10214aep" FALSE FALSE FALSE FALSE
"239" "t10215aep" FALSE FALSE FALSE FALSE
"240" "t10216aep" FALSE FALSE FALSE FALSE
"241" "t10217aep" FALSE FALSE FALSE FALSE
"242" "t10218aep" FALSE FALSE FALSE FALSE
"243" "t10219aep" FALSE FALSE FALSE FALSE
"244" "t1021aep" TRUE FALSE TRUE FALSE
"245" "t10220aep" FALSE FALSE FALSE FALSE
"246" "t10221aep" FALSE FALSE FALSE FALSE
"247" "t10222aep" FALSE FALSE FALSE FALSE
"248" "t10223aep" FALSE FALSE FALSE FALSE
"249" "t10224aep" FALSE FALSE FALSE FALSE
"250" "t10225aep" FALSE FALSE FALSE FALSE
"251" "t10226aep" FALSE FALSE FALSE FALSE
"252" "t10227aep" FALSE FALSE FALSE FALSE
"253" "t10228aep" FALSE FALSE FALSE FALSE
"254" "t10229aep" FALSE FALSE FALSE FALSE
"255" "t1022aep" TRUE FALSE TRUE FALSE
"256" "t10230aep" FALSE FALSE FALSE FALSE
"257" "t10231aep" FALSE FALSE FALSE FALSE
"258" "t10232aep" FALSE FALSE FALSE FALSE
"259" "t10233aep" FALSE FALSE FALSE FALSE
"260" "t10234aep" FALSE FALSE FALSE FALSE
"261" "t10235aep" FALSE FALSE FALSE FALSE
"262" "t10236aep" FALSE FALSE FALSE FALSE
"263" "t10237aep" FALSE FALSE FALSE FALSE
"264" "t10238aep" FALSE FALSE FALSE FALSE
"265" "t10239aep" FALSE FALSE FALSE FALSE
"266" "t1023aep" FALSE FALSE TRUE FALSE
"267" "t10240aep" FALSE FALSE FALSE FALSE
"268" "t10241aep" FALSE FALSE FALSE FALSE
"269" "t10242aep" FALSE FALSE FALSE FALSE
"270" "t10243aep" FALSE FALSE FALSE FALSE
"271" "t10244aep" FALSE FALSE FALSE FALSE
"272" "t10245aep" TRUE FALSE TRUE FALSE
"273" "t10246aep" FALSE FALSE FALSE FALSE
"274" "t10247aep" FALSE FALSE FALSE FALSE
"275" "t10248aep" FALSE FALSE FALSE FALSE
"276" "t10249aep" FALSE FALSE FALSE FALSE
